code,Plan_ClusterName
2338387,NULL
2338358,NULL
2337540,NULL
2337630,NULL
2338453,NULL
2338787,NULL
2338816,NULL
2337868,NULL
2338450,NULL
2338537,NULL
2338722,NULL
2338750,NULL
2338125,NULL
2338016,NULL
2338266,NULL
2338383,NULL
2337762,NULL
2338420,NULL
2338291,NULL
2338347,NULL
2338273,NULL
2338281,NULL
2337876,NULL
2338145,NULL
2338179,NULL
2338023,NULL
2338084,NULL
2338800,NULL
2338798,NULL
2338451,NULL
2338780,NULL
2338604,NULL
2338631,NULL
2337289,NULL
2337647,NULL
2337629,NULL
2337430,NULL
2338437,NULL
2338485,NULL
2337517,NULL
2337664,NULL
2337699,NULL
2337720,NULL
2337625,NULL
2337608,NULL
2337485,NULL
2337493,NULL
2337578,NULL
2337672,NULL
2337579,NULL
2337824,NULL
2337897,NULL
2337909,NULL
2338323,NULL
2338339,NULL
2338321,NULL
2338180,NULL
2338337,NULL
2338210,NULL
2338303,NULL
2337914,NULL
2337895,NULL
2337539,NULL
2337556,NULL
2337311,NULL
2337318,NULL
2337287,NULL
2337796,NULL
2337763,NULL
2337599,NULL
2338691,NULL
2338470,NULL
2337394,NULL
2338175,NULL
2337846,NULL
2337706,NULL
2338656,NULL
2338760,NULL
2337415,NULL
2338696,NULL
2338219,NULL
2338220,NULL
2338225,NULL
2338244,NULL
2329563,NULL
2194757,LN1PrdApp13
2195151,CY4PrdApp13
2193871,DM5PrdApp19
2153744,DB3PrdApp11
2194132,AMS06PrdApp08
2195814,BYAPrdStr06
2196187,BYAPrdStr10
2196329,BL6PrdStr12
2196314,BL6PrdStr10
2196131,BYAPrdStr13
2196182,CHAPrdStr05
2195829,BL6PrdStr09
2195982,BYAPrdStr08
2195930,BL6PrdStr04
2195983,BYAPrdStr09
2195363,BZ6PrdApp09
2195154,MWH01PrdApp11
2194400,DM5PrdApp18
2195463,SG2PrdApp36
2184779,DB3PrdApp12
2147662,DB3PrdApp14
2195376,SN4PrdApp22
2194133,YT1PrdApp07
2194396,BLAPrdApp11
2183146,DB3PrdApp16
2148453,AM5PrdApp52
2291866,DZ5PrdStp03
2207738,MWH01PrdStp09
2256833,BZ6PrdStp11
2206588,DM5PrdStp04
2329198,NULL
2329077,NULL
2300233,NULL
2338169,NULL
2338304,NULL
2337688,NULL
2338118,NULL
2337446,NULL
2337291,NULL
2338768,NULL
2338832,NULL
2338717,NULL
2338538,NULL
2338664,NULL
2338461,NULL
2338289,NULL
2338164,NULL
2338233,NULL
2337721,NULL
2337687,NULL
2337831,NULL
2337816,NULL
2337981,NULL
2338131,NULL
2337724,NULL
2338456,NULL
2337381,NULL
2338372,NULL
2338229,NULL
2337809,NULL
2337781,NULL
2337487,NULL
2337791,NULL
2338231,NULL
2338235,NULL
2338170,NULL
2337991,NULL
2338089,NULL
2337820,NULL
2337864,NULL
2337703,NULL
2337553,NULL
2337376,NULL
2338558,NULL
2338842,NULL
2338480,NULL
2338370,NULL
2337315,NULL
2337375,NULL
2337740,NULL
2337935,NULL
2337448,NULL
2337442,NULL
2338019,NULL
2337631,NULL
2337715,NULL
2337852,NULL
2338165,NULL
2338185,NULL
2338186,NULL
2338279,NULL
2337674,NULL
